ID	NS	OS	Phylum	Class	Genus	Dissimilarity
OTU_892	0	0.05399074	 Proteobacteria	 Betaproteobacteria	 Sulfuritalea	0.044418465
OTU_912	0.031171574	0.044083251	 Proteobacteria	Others	 OM27_clade	0.039166312
OTU_641	0	0.05399074	 Proteobacteria	Others	 Unassigned	0.044418465
OTU_806	0	0.05399074	Others	Others	 Unassigned	0.044418465
OTU_694	0	0.05399074	 Bacteroidetes	Others	Unassigned	0.044418465
OTU_578	0	0.05399074	 Bacteroidetes	Others	Unassigned	0.044418465
OTU_2284	0.031171574	0.044083251	 Proteobacteria	 Alphaproteobacteria	 Alsobacter	0.039166312
OTU_386	0	0.05399074	 Proteobacteria	 Gammaproteobacteria	 Coxiella	0.044418465
OTU_466	0.031171574	0.044083251	 Proteobacteria	Others	 Unassigned	0.039166312
OTU_557	0.044083251	0.031171574	 Proteobacteria	 Alphaproteobacteria	Unassigned	0.039166312
OTU_842	0	0.05399074	 Planctomycetes	Others	 SM1A02	0.044418465
OTU_3355	0	0.05399074	Others	Others	 Unassigned	0.044418465
OTU_848	0.031171574	0.044083251	Others	Others	 Chthonomonas	0.039166312
OTU_3259	0.044083251	0.031171574	 Actinobacteria	 Actinobacteria	Unassigned	0.039166312
OTU_858	0	0.05399074	 Proteobacteria	Others	Unassigned	0.044418465
OTU_668	0.044083251	0.031171574	Others	Others	 Deinococcus	0.039166312
OTU_341	0.031171574	0.044083251	 Bacteroidetes	Others	 Phaeodactylibacter	0.039166312
OTU_3790	0.031171574	0.044083251	 Proteobacteria	 Betaproteobacteria	 Unassigned	0.039166312
OTU_747	0.031171574	0.044083251	 Proteobacteria	 Betaproteobacteria	Unassigned	0.039166312
OTU_510	0	0.05399074	 Proteobacteria	 Betaproteobacteria	 Unassigned	0.044418465
OTU_767	0	0.05399074	 Planctomycetes	Others	 Unassigned	0.044418465
OTU_645	0.044083251	0.031171574	 Planctomycetes	Others	 SM1A02	0.039166312
OTU_1639	0	0.05399074	Others	Others	 Unassigned	0.044418465
OTU_625	0	0.05399074	 Actinobacteria	 Actinobacteria	Unassigned	0.044418465
OTU_654	0.031171574	0.044083251	 Planctomycetes	Others	 Unassigned	0.039166312
OTU_1411	0	0.05399074	 Bacteroidetes	Others	 Unassigned	0.044418465
OTU_561	0	0.05399074	 Planctomycetes	Others	 SM1A02	0.044418465
OTU_748	0	0.05399074	 Proteobacteria	Others	 Unassigned	0.044418465
OTU_2352	0	0.05399074	 Proteobacteria	 Alphaproteobacteria	 Nordella	0.044418465
OTU_1321	0	0.05399074	 Proteobacteria	 Alphaproteobacteria	 Defluviicoccus	0.044418465
OTU_1746	0	0.05399074	 Proteobacteria	 Gammaproteobacteria	 Luteimonas	0.044418465
OTU_1294	0	0.05399074	 Planctomycetes	Others	 SM1A02	0.044418465
OTU_1108	0	0.05399074	Others	Others	Unassigned	0.044418465
OTU_570	0	0.05399074	 Proteobacteria	Others	 Nannocystis	0.044418465
OTU_659	0	0.05399074	 Bacteroidetes	Others	 Flavobacterium	0.044418465
OTU_1057	0	0.05399074	 Proteobacteria	 Alphaproteobacteria	 Ferrovibrio	0.044418465
OTU_1315	0	0.05399074	Others	Others	 Unassigned	0.044418465
OTU_1213	0	0.05399074	 Proteobacteria	 Gammaproteobacteria	 Unassigned	0.044418465
OTU_676	0.031171574	0.031171574	 Proteobacteria	 Alphaproteobacteria	 Bauldia	0.033105891
OTU_502	0	0.044083251	 Firmicutes	Others	Unassigned	0.036262929
